crn,course_code,name,days,start_time,end_time,room_num,instructor,semester,mode,status
19623,LLLS 4344,Literacy Methods For EC-6,Th,7:00PM,9:50PM,Arbor 1310.09,Rosie Ann Sanchez,Spring 2023,< 50% online,Closed
19625,LLLS 4345,Survey of Children Literature,Mo,4:00PM,6:50PM,Bayou Building 1326,Denise Bowman,Spring 2023,< 50% online,Opened
19626,LLLS 4345,Survey of Children Literature,TDB,TDB,TDB,TBA,Sharon Lynn Zallis-Youngblood,Spring 2023,100% Online,Closed
19627,LLLS 4345,Survey of Children Literature,TDB,TDB,TDB,TBA,Morgan Waites Tolleson Fanning,Spring 2023,100% Online,Closed
19630,LLLS 4346,Literacy Methods for 4-8,Tu,4:00PM,6:50PM,Arbor 1310.05,Heather A Pule,Spring 2023,< 50% online,Opened
19631,LLLS 4348,Selecting Literature for The Very Young Child,TDB,TDB,TDB,TBA,Morgan Waites Tolleson Fanning,Spring 2023,100% Online,Closed
19633,LLLS 4351,Content Area Literacy,Th,7:00PM,9:50PM,Bayou Building 2237,Dolly Eiren Liburd,Spring 2023,< 50% online,Closed
19649,LLLS 4364,Methods in Scndry Eng/Lang Art,Th,4:00PM,6:50PM,Arbor 1310.09,Heather A Pule,Spring 2023,< 50% online,Opened
19635,LLLS 5131,Integrating the Language Arts,Tu,4:00PM,6:50PM,Bayou Building 1211,Angelia Cole Durand,Spring 2023,< 50% online,Opened
19636,LLLS 5531,Critical Reading And Thinking,Th,7:00PM,9:50PM,Bayou Building 2237,Dolly Eiren Liburd,Spring 2023,< 50% online,Opened
19638,LLLS 5633,Teaching Methods for English/Reading Language Arts for Grades 4-8,Tu,4:00PM,6:50PM,Arbor 1310.05,Heather A Pule,Spring 2023,< 50% online,Opened
19639,LLLS 6333,Genre Studies in Children's & Young Adult Literature,Th,4:00PM,6:50PM,Arbor 1310.07,Roberta Diane Raymond,Spring 2023,< 50% online,Opened
19641,LLLS 6732,Asmnt & Remed/Read La Literacy,Th,7:00PM,9:50PM,Arbor 1310.07,Matt Panozzo,Spring 2023,< 50% online,Opened
19758,MATH 1314,College Algebra,TuTh,10:00AM,11:20AM,Bayou Building 2122,Teresa D Rivas,Spring 2023,100% F2F w/supplmtnl web,Opened
19759,MATH 1314,College Algebra,MoWe,1:00PM,2:20PM,Bayou Building 3326,Teresa D Rivas,Spring 2023,100% F2F w/supplmtnl web,Opened
19773,MATH 1324,Mathematics for Business & Social Sciences,MoWe,11:00AM,12:20PM,Bayou Building 1218,Michael Heerey,Spring 2023,100% F2F w/supplmtnl web,Opened
19774,MATH 1324,Mathematics for Business & Social Sciences,TuTh,5:30PM,6:50PM,Bayou Building 2311,Michael Heerey,Spring 2023,> or equal to 50% Online,Opened
19828,MATH 1332,Contemporary Mathematics,TuTh,11:30AM,12:50PM,Bayou Building 2122,Michael Heerey,Spring 2023,100% F2F w/supplmtnl web,Opened
19829,MATH 1350,Mathematics for Teachers I,TuTh,1:00PM,2:20PM,Bayou Building 3315,Catherine Gaines,Spring 2023,100% F2F w/supplmtnl web,Opened
19831,MATH 1351,Mathematics for Teachers II,TuTh,10:00AM,11:20AM,Bayou Building 3315,Catherine Gaines,Spring 2023,100% F2F w/supplmtnl web,Opened
