crn,course_code,name,days,start_time,end_time,room_num,instructor,semester,mode,status
20924,CENG 4391,Selected Topics In Comp Enginr,W,1900,2150,Delta Building 136,Xiaokun Yang,Fall 2023,100% F2F w/supplmtnl web,Opened
20925,CENG 4391,Selected Topics In Comp Enginr,M,1900,2150,DELTA 158B,Thomas L Harman,Fall 2023,100% F2F w/supplmtnl web,Opened
20926,CENG 4391,Selected Topics In Comp Enginr,H,1300,1550,Delta� Building 119A,"Unal ""Zak"" Sakoglu",Fall 2023,100% F2F w/supplmtnl web,Opened
20927,CENG 5131,Engineering Applications,H,1900,2150,Delta Building 136,Luong An Nguyen,Fall 2023,100% F2F w/supplmtnl web,Opened
20928,CENG 5133,Computer Architecture Design,M,1600,1850,DELTA 140,Hakduran Koc,Fall 2023,100% F2F w/supplmtnl web,Opened
20929,CENG 5433,Prin Of Digital Commun Systems,T,1900,2150,Delta Building 136,Jiang Lu,Fall 2023,100% F2F w/supplmtnl web,Closed
23566,CENG 5434,Microcomputer Systems Design,W,1600,1850,DELTA 140,Ishaq H Unwala,Fall 2023,100% F2F w/supplmtnl web,Opened
20930,CENG 5435,Robotics Applications and Software,M,1900,2150,DELTA 158B,Thomas L Harman,Fall 2023,100% F2F w/supplmtnl web,Closed
20931,CENG 5531,Machine Learning and Applications,H,1300,1550,Delta� Building 119A,"Unal ""Zak"" Sakoglu",Fall 2023,100% F2F w/supplmtnl web,Opened
20932,CENG 5931,Topics In Computer Engineering,W,1900,2150,Delta Building 136,Xiaokun Yang,Fall 2023,100% F2F w/supplmtnl web,Opened
20933,CENG 5931,Topics In Computer Engineering,H,1600,1850,Delta Building D201,Liwen Shih,Fall 2023,100% F2F w/supplmtnl web,Opened
20934,CENG 6535,Bio-Inspired Computing,T,1600,1850,Delta Building 202,Liwen Shih,Fall 2023,100% F2F w/supplmtnl web,Opened
23570,CENG 6838,Research Project and Seminar,T,1300,1550,DELTA 158B,Liwen Shih,Fall 2023,100% F2F w/supplmtnl web,Opened
23883,CHEM 1111,Laboratory for General Chemistry I,M,900,1150,STEM 3131,Monica Khural,Fall 2023,100% F2F w/supplmtnl web,Opened
23884,CHEM 1111,Laboratory for General Chemistry I,M,1300,1550,STEM 3131,Charuksha Thameera Walgama,Fall 2023,100% F2F w/supplmtnl web,Opened
23885,CHEM 1111,Laboratory for General Chemistry I,M,1600,1850,STEM 3131,Monica Khural,Fall 2023,100% F2F w/supplmtnl web,Opened
23886,CHEM 1111,Laboratory for General Chemistry I,W,900,1150,STEM 2103,Monica Khural,Fall 2023,100% F2F w/supplmtnl web,Opened
23887,CHEM 1111,Laboratory for General Chemistry I,W,1300,1550,STEM 3131,To be Announced,Fall 2023,Face to Face,Opened
23888,CHEM 1111,Laboratory for General Chemistry I,W,1600,1850,TBA,To be Announced,Fall 2023,100% F2F w/supplmtnl web,Opened
23893,CHEM 1112,Laboratory for General Chemistry II,W,900,1150,STEM 3131,Yi Su,Fall 2023,100% F2F w/supplmtnl web,Opened
23894,CHEM 1112,Laboratory for General Chemistry II,W,1300,1550,STEM 3127,Monica Khural,Fall 2023,100% F2F w/supplmtnl web,Opened
23889,CHEM 1311,General Chemistry I,TH,1300,1420,STEM 1203,To be Announced,Fall 2023,100% F2F w/supplmtnl web,Opened
